station_id,station_name,station_code,network_name,state_code,lat,lon,PM2.5,PM10,O3,NO2,NOx,CO
32,Secretaría de Medio Ambiente,SMA,Aguascalientes,0.0,21.846391666667,-102.28843055556,131.0588374323744,87.65390754952078,1.3341041198053638,1.4046790478833613,2.327863402672582,0.858112271006172
33,Centro,CEN,Aguascalientes,1.0,21.883780555556,-102.295825,96.1155175932168,90.70539292859637,4.029435700901628,5.015165306280926,7.399232814332566,1.4379579385861123
53,SUR,SUR,Chihuahua,8.0,28.632775,-106.03886694444,23.73062416737972,58.87826890322093,0.028613252670206694,0.012102163568399178,0.021708910177558507,1.0268445292450605
56,CONALEP,CNP,Torreón,5.0,25.522694444444,-103.39580555556,19.746870599469993,61.903548601765635,0.020839281658690232,0.007742919108800611,0.031595851842907426,26.18260030952328
59,IPN,IPN,Durango,10.0,24.051555555556,-104.61136111111,22.262307214255078,71.46578337431404,0.4150231315115768,0.019912485507058743,0.03783775638254689,2.1914441527057353
60,SRNyMA,SRN,Durango,10.0,24.026777777778,-104.692975,31.18474794008023,32.663684233978074,0.01591528443067737,0.008934873222333732,0.02901864117647734,2.0105775967814288
68,Policía,POL,Celaya,0.0,20.5175,-100.81555555556,19.51180515384474,62.88071948225033,0.03338706722656595,0.01430190267674097,0.021144993786774386,1.1021927205833117
70,San Juanico,SJ,Celaya,0.0,20.5375,-100.83972222222,28.773680569392276,76.58972651715032,0.02996059725330856,0.048969465825630096,0.19895840232163609,1.3327105394234733
72,Bomberos,BOM,Irapuato,0.0,21.118055555556,-101.60216666667,18.547985962572213,52.41647798934619,0.028978657684675856,0.013424534132961711,0.03063200023345304,1.4517928983960897
73,Teódula,TEO,Irapuato,0.0,20.658055555556,-101.34888888889,20.292654077834108,54.28186637878045,0.03287694267070724,0.013063712624736134,0.02574882923001557,1.0444501924223086
74,CICEG - Bomberos,CC,León,0.0,21.103055555556,-101.63611111111,25.32962813203387,59.622907822024075,0.02608310041897026,0.0190216659646179,0.03273167165600641,1.2060820530814857
75,Facultad de Medicina,FM,León,0.0,21.133333333333,-101.68,19.522443369703694,53.828030040902846,0.027369464760209263,0.020631318670473863,0.03840424372294435,0.7414990549709549
77,Cruz roja,CR,Salamanca,0.0,20.578611111111,-101.19888888889,21.945280387202633,46.86635369952545,0.023895087449754823,0.015412272020111174,0.024123097314990266,1.245009385365857
78,DIF,DIF,Salamanca,0.0,20.558055555556,-101.20472222222,22.32232177133027,51.44467694385889,0.025964418625471247,0.014181986079203542,0.02670370790699428,0.9136473115514993
82,Centro de Salud,ATI,Atitalaquia,13.0,20.06,-99.221944444444,23.010996459160207,71.84442675763013,0.020643234471826272,0.014037264256434272,0.03166908968306902,0.9278435564577043
84,Estación de Bomberos de Cd. Sahagún,TEP,Tepeapulco,13.0,19.771694444444,-98.577694444444,131.67354336965437,153.1545768587252,0.027618170091912444,0.007969554388809837,0.016360469382034885,0.6272764740961707
85,Hospital,HUI,Huichapan,13.0,20.375111111111,-99.654444444444,91.09765882286092,101.86361683969596,0.030162860520594335,0.00844251094820363,0.014901098170561122,0.4489239757210583
87,Primaria Melchor Ocampo,TPJ,Tepeji,0.0,19.905555555556,-99.346944444444,19.635742343641564,35.69812708356091,0.022754150687880455,0.013780131566808063,0.02715896354499013,0.7198654676889823
92,Jardín del Maestro,JDN,Pachuca,13.0,20.120555555556,-98.74,21.737536560163253,19.964354609724637,0.032687670061256204,0.010466560068406548,0.02315630942395211,1.1053349666212684
93,Museo del Rehilete,REH,Pachuca,13.0,20.077222222222,-98.777972222222,17.42530343451098,32.68230144763287,0.02863259878679912,0.010779478409693776,0.017000851000655078,0.4523068451754064
102,Centro,CEN,Guadalajara,0.0,20.673764722222,-103.33333611111,26.89014689253361,37.67764855689133,0.025559274647168083,0.021007607625099504,0.031595234872829565,0.7253607734052857
103,Las Águilas,AGU,Guadalajara,0.0,20.631268055556,-103.41643083333,25.312566367654657,30.68643863776063,0.027255142482948656,0.024660892382988353,0.036028895414767476,0.8699920751018773
106,Miravalle,MIR,Guadalajara,0.0,20.614444444444,-103.34333333333,30.437468323022838,60.13225923432322,0.023962259134021155,0.02410477709064005,0.0391430463014401,0.9412721887719137
109,Tlaquepaque,TLA,Guadalajara,0.0,20.640966666667,-103.31259194444,29.80967561115432,46.85123996826854,0.025447341558961212,0.023318985445165155,0.04083873939146699,1.1429940607848974
123,Ceboruco,CB,Toluca,0.0,19.260305555556,-99.645722222222,29.226851928823855,58.54637017806931,0.02995084793475316,0.02409538869401213,0.04328883597696219,1.0079395988251734
125,Metepec,MT,Toluca,0.0,19.270194444444,-99.595194444444,30.845156763913007,54.75133780533574,0.029662062749965457,0.023448604322207443,0.040416999254979734,0.8783079337829773
126,Oxtotitlán,OX,Toluca,0.0,19.283444444444,-99.683488888889,28.940439922552567,54.26771564186435,0.028105358013255314,0.02339400646560138,0.042323577189299556,0.9858186585814683
128,San Mateo Atenco,SM,Toluca,0.0,19.280416666667,-99.541666666667,37.289806035477206,64.27046606527712,0.026529032717273516,0.027759485638913308,0.06290169352856574,0.9376851184144391
129,Universidad Michoacana de San Nicolás Hidalgo,ECU,Morelia,0.0,19.690461111111,-101.20478888889,21.946958414896955,49.6060686887026,1.978674489617472,0.7481812807980601,1.3063732628854707,2.652415340956905
134,Cuernavaca 01,PGO,Cuernavaca,17.0,18.921817777778,-99.234896666667,33.922960386575085,50.02964149514916,0.02846938493226451,0.015598806748093797,0.04722785107665384,0.6704590356214061
136,Tecnológico de Tepic,TEC,Tepic,18.0,21.478177777778,-104.86774166667,28.491650452875422,60.568151490236616,0.023178152695090482,0.00717870418538906,0.02170282626606596,0.7938663387162237
137,Primaria Julián Gascón Mercado,PRIM,Tepic,0.0,21.509805555556,-104.91018055556,12.415269990299302,37.15628436781357,0.020878429092428433,0.011239456983293311,0.02173119014646531,0.6200050379836054
139,Santa Catarina,SO,Monterrey,19.0,25.675555555556,-100.46472222222,26.0565695551392,75.46469388991241,0.023688765079152494,0.01577288737903149,0.028301825964882975,1.159760573093053
140,San Bernabé,NO,Monterrey,19.0,25.756944444444,-100.36583333333,23.47848394304848,70.84797537854749,0.027109859328161064,0.01204944473649255,0.021476163343794853,1.00953874602476
141,Obispado,CE,Monterrey,19.0,25.675833333333,-100.33833333333,22.261014198089843,56.75550988867236,0.024533661334039614,0.01327323518272486,0.020861188981559812,1.5039029812288993
142,San Nicolás,NE,Monterrey,19.0,25.745277777778,-100.255,24.20196038792844,65.06672771246195,0.022679411512404164,0.014388282454714315,0.020064567487192014,1.3794123156112408
143,La Pastora,SE,Monterrey,19.0,25.668055555556,-100.24944444444,18.040413416191775,52.84413422831798,0.026032150398200726,0.013160704916302609,0.01709733036419185,1.4582077497415982
145,García,NO2,Monterrey,19.0,25.783333333333,-100.58583333333,21.388137002734943,77.15558014472715,0.02692045467483185,0.007845533370840957,0.022423496323197435,1.2800391889469944
146,Apodaca,NE2,Monterrey,19.0,25.777222222222,-100.18833333333,24.862084325729246,60.00649115248417,0.023974096584385676,0.017692944222374968,0.01972163824705383,1.1870876558398638
147,Juárez,SE2,Monterrey,19.0,25.646111111111,-100.09555555556,20.80561465706469,60.072704032142525,0.023827380117091936,0.011344728619765413,0.04619214189038933,1.4098140996936581
148,San Pedro,SO2,Monterrey,19.0,25.665277777778,-100.41277777778,19.18365439021097,60.399933720997716,0.023748275479517925,0.011430000286163896,0.022239556865138163,1.4801787007021685
160,CEDART,CED,Oaxaca,20.0,16.699340277778,-96.866455,108.78279493039508,35.33421662318207,0.02222799732671681,0.020080236011346102,0.029424865223847626,1.0331330618227579
161,Agua Santa,STA,Puebla,21.0,18.987583333333,-98.250388888889,19.537458972702463,40.753354837091386,0.017551695632487693,0.016625026979399906,0.04278740203616147,1.403700976037111
162,Las Ninfas,NIN,Puebla,21.0,19.041388888889,-98.214222222222,20.141114113294634,55.45623785023053,0.020585451404166632,0.016557075822499653,0.02654779331392224,1.6522291296988594
163,Benemérito Instituto Normal del Estado,BINE,Puebla,0.0,19.062722222222,-98.224527777778,19.496636954114802,39.506283296988975,0.019969950717035365,0.013422217845390133,0.020917671301573428,1.5620996470472714
220,Palacio de Gobierno,PGO,Tlaxcala,29.0,19.317583333333,-98.237305555556,98.52090104317591,263.4097724578697,0.4975092262679618,0.4054314195127424,0.6148355827797597,1.2130457686287095
234,Tecnológico,TEC,Minatitlán,30.0,18.005675,-94.555336111111,68.64146767547864,86.46426775435279,0.027533669593656506,0.009038398627341678,0.029698739572188854,0.6523440765663959
241,Ajusco,AJU,Valle de México,9.0,19.154286111111,-99.162777777778,17.245488215398456,,0.03522410496836334,,,
242,Ajusco Medio,AJM,Valle de México,9.0,19.272222222222,-99.207777777778,19.146231914882694,33.01660226698703,0.040518265360311105,0.017306286144529594,0.021331274989794428,0.5719110284449169
244,Camarones,CAM,Valle de México,9.0,19.468611111111,-99.17,25.210219154371366,46.89328872363502,0.025680655731216633,0.0313975991873353,0.05043100541031214,0.8002505278114683
245,Centro de Ciencias de la Atmósfera,CCA,Valle de México,9.0,19.326388888889,-99.176111111111,18.310294872408576,,0.033373815756547305,0.022713362807332077,0.030768357682474334,0.6265002364817772
251,Hospital General de México,HGM,Valle de México,9.0,19.411666666667,-99.152222222222,25.18416177839495,44.06229591354375,0.03011590533746359,0.030748555302356186,0.042671511479237645,0.8236843307444393
256,Merced,MER,Valle de México,9.0,19.424722222222,-99.119722222222,25.125080527038136,51.32478429057019,0.02596053824217198,0.03405979660704378,0.054110678045872815,1.0085928995767914
258,Nezahualcóyotl,NEZ,Valle de México,15.0,19.393888888889,-99.028333333333,23.29118834674824,,0.02919175170059796,0.024730917540941526,0.03518754612789477,0.7531709615568642
260,San Agustín,SAG,Valle de México,15.0,19.533055555556,-99.030555555556,22.99341641284127,51.54833380015306,0.02641243528615845,0.02322992382456058,0.03724397158114773,0.6961423662952353
262,Santa Fe,SFE,Valle de México,9.0,19.3575,-99.263055555556,18.925939734358824,34.23467487875826,0.03349041571300209,0.021477457695671383,0.028147612578531565,0.5222814202607862
263,Miguel Hidalgo,MGH,Valle de México,9.0,19.404,-99.202722222222,22.805507507166535,36.666455289155465,0.02952714238010429,0.027615005331728636,0.0486286293380571,0.7233229720703519
266,Tlalnepantla,TLA,Valle de México,15.0,19.529166666667,-99.204722222222,24.75864845825382,50.541585587881684,0.025644494854218138,0.03132606792307052,0.05198274132533681,0.850845268246751
268,UAM Iztapalapa,UIZ,Valle de México,9.0,19.360833333333,-99.073888888889,23.881846466712176,44.854860975757724,0.029358778118623544,0.027527072257701398,0.040120594406647274,0.7210671776772017
269,UAM Xochimilco,UAX,Valle de México,9.0,19.304444444444,-99.103888888889,20.342472203680806,,0.03187724403586637,0.022638726422166057,0.029745055389343644,0.7069970298101238
271,Xalostoc,XAL,Valle de México,15.0,19.526111111111,-99.0825,30.35001566252797,73.44962410586588,0.026082105936173477,0.03110367362855299,0.0621952032522092,1.0029758951874166
291,Universidad Veracruzana,PR-03,Poza Rica,0.0,20.508972222222,-97.446986111111,197.9561584661883,223.91116222804325,0.024573744813691303,0.010855781023681996,0.019052867921358334,0.6112339323878689
292,Tulancingo,TLN,Tulancingo,13.0,20.08525,-98.366638888889,13.215772190488831,26.15801641133331,0.02635764265453614,0.011305719648811602,0.017112095677131248,0.8826878144208926
293,Protección Civil,PC,Guerrero,0.0,16.850330555556,-99.903738888889,20.920130402332443,0.6924569457170682,0.02049353707068636,0.0018126496571436587,0.007032323425342366,0.05933883405482749
297,Casa Hogar,CHO,Oaxaca,20.0,17.094666666667,-96.752166666667,13.36848759498272,47.164829725381765,0.016988357750852497,0.009326482099760277,0.01832196780889294,0.4827986056691549
301,Instituto Nacional de Investigaciones Nucleares,INN,Valle de México,15.0,19.292222222222,-99.380555555556,13.735210106646923,21.63484594118312,0.037806311096940666,,,0.26116529911989167
302,Gustavo A. Madero,GAM,Valle de México,9.0,19.482777777778,-99.094722222222,24.328658432596537,44.53927761348439,0.032418746095262276,0.02295078947727859,,
304,Finanzas,FIN,Saltillo,5.0,25.421472222222,-100.99686111111,104.18882580251703,121.85169303484237,0.02626086338521999,0.017133489005197528,0.02550812810584955,0.6138218995940004
305,Jurisdicción Sanitaria,JUR,Monclova,5.0,26.908194444444,-101.427,283.7809493137341,229.95794855013935,0.032519355175552815,0.007303264076673372,0.009502182317359945,0.28690878754220306
306,Centro de Rehabilitación DIF,DIF,Piedras Negras,5.0,28.707666666667,-100.5265,235.01503191594398,244.14042338221688,0.02210807441887748,0.00585129500548903,0.00916834688952954,0.33962470373287545
352,Presidencia Municipal,PRE-SMA,San Miguel de Allende,0.0,20.903777777778,-100.71325,12.040347044528367,,,,,
356,Presidencia Municipal,ABA,Abasolo,0.0,20.425277777778,-101.19805555556,12.909154302006938,,,,,
358,Presidencia Municipal,SLP,San Luis de la Paz,0.0,21.295861111111,-100.52330555556,10.340723295576947,,,,,
359,Universidad Gto Sede Belen,UG-B,Guanajuato,0.0,21.017583333333,-101.25736111111,11.253980165948997,,,,,
388,Palacio Municipal,ECH,Morelia,0.0,19.701388888889,-101.195,22.59626925556414,,0.03149538332077873,0.013333107768927781,0.015364739981411937,0.4065188273112023
424,Cadereyta,SE3,Monterrey,19.0,25.600555555556,-99.994166666667,19.48971351768812,56.792902734961565,0.023543197152709257,0.008840671630971908,0.01721782636773861,1.0480691705414455
425,Universidad,N2,Monterrey,0.0,25.73,-100.30972222222,20.29214292330543,62.4648908873402,0.022207278941090196,0.014093669820860398,0.026820117878011154,1.4401026347588193
426,Pueblo Serena,SUR,Monterrey,19.0,25.575277777778,-100.24916666667,11.60450137911903,42.053163347407605,0.030510920696532995,0.009986726449168879,0.0073681636570736364,0.8829748104483951
